"Location,Latitude,Longitude"
"กรุงเทพมหานคร ปทุมวัน,13.746,100.530"
"กรุงเทพมหานคร ดินแดง,13.769,100.561"
"กรุงเทพมหานคร ลาดพร้าว,13.825,100.604"
"กรุงเทพมหานคร จตุจักร,13.815,100.561"
"กรุงเทพมหานคร บางซื่อ,13.806,100.537"
"นนทบุรี เมืองนนทบุรี,13.862,100.514"
"กรุงเทพมหานคร สายไหม,13.921,100.648"
"กรุงเทพมหานคร บึงกุ่ม,13.803,100.626"
"กรุงเทพมหานคร หลักสี่,13.876,100.589"
"กรุงเทพมหานคร วังทองหลาง,13.780,100.607"
"สระแก้ว อรัญประเทศ,13.692,102.565"
"กรุงเทพมหานคร บางขุนเทียน,13.582,100.434"
"กรุงเทพมหานคร พญาไท,13.769,100.542"
"กรุงเทพมหานคร ภาษีเจริญ,13.714,100.429"
"กรุงเทพมหานคร ประเวศ,13.699,100.678"
"กรุงเทพมหานคร ห้วยขวาง,13.776,100.573"
"อุทัยธานี ลานสัก,15.289,99.543"
"สมุทรปราการ เมืองสมุทรปราการ,13.599,100.599"
"กรุงเทพมหานคร ดอนเมือง,13.912,100.589"
"กรุงเทพมหานคร บางกะปิ,13.765,100.643"
"ปทุมธานี ลำลูกกา,13.948,100.739"
"กรุงเทพมหานคร มีนบุรี,13.812,100.717"
"กรุงเทพมหานคร บางเขน,13.880,100.583"
"กรุงเทพมหานคร บางพลัด,13.784,100.508"
"กรุงเทพมหานคร ยานนาวา,13.705,100.543"
"สมุทรปราการ บางเสาธง,13.600,100.800"
"กรุงเทพมหานคร หนองจอก,13.878,100.862"
"ลพบุรี โคกสำโรง,15.019,100.674"
"กรุงเทพมหานคร ตลิ่งชัน,13.769,100.442"
"กรุงเทพมหานคร คลองสามวา,13.870,100.717"
"กรุงเทพมหานคร คันนายาว,13.800,100.678"
"ปทุมธานี เมืองปทุมธานี,14.017,100.530"
"กรุงเทพมหานคร บางกอกใหญ่,13.730,100.485"
"กรุงเทพมหานคร สะพานสูง,13.768,100.717"
"กรุงเทพมหานคร หนองแขม,13.711,100.352"
"กรุงเทพมหานคร ธนบุรี,13.720,100.490"
"กรุงเทพมหานคร วัฒนา,13.739,100.567"
"กรุงเทพมหานคร บางนา,13.668,100.609"
"กรุงเทพมหานคร ราชเทวี,13.754,100.530"
"กรุงเทพมหานคร ป้อมปราบศัตรูพ่าย,13.746,100.514"
"กรุงเทพมหานคร บางบอน,13.648,100.409"
"นนทบุรี บางใหญ่,13.862,100.408"
"กรุงเทพมหานคร ดุสิต,13.776,100.514"
"กรุงเทพมหานคร สาทร,13.720,100.530"
"กรุงเทพมหานคร คลองเตย,13.730,100.567"
"ปทุมธานี ธัญบุรี,14.037,100.739"
"กรุงเทพมหานคร บางคอแหลม,13.705,100.543"
"นนทบุรี ไทรน้อย,13.950,100.383"
"กรุงเทพมหานคร พระนคร,13.756,100.501"
"กรุงเทพมหานคร จอมทอง,13.700,100.452"
"กรุงเทพมหานคร สวนหลวง,13.730,100.678"
"นครศรีธรรมราช เมืองนครศรีธรรมราช,8.430,99.963"
"กรุงเทพมหานคร ลาดกระบัง,13.727,100.778"
"นนทบุรี ปากเกร็ด,13.913,100.500"
"กรุงเทพมหานคร ทุ่งครุ,13.600,100.500"
"กรุงเทพมหานคร บางรัก,13.730,100.530"
"กาญจนบุรี ท่ามะกา,13.920,99.650"
"นครศรีธรรมราช ทุ่งสง,8.160,99.670"
"กรุงเทพมหานคร สัมพันธวงศ์,13.740,100.514"
"ปราจีนบุรี กบินทร์บุรี,13.950,101.750"
"นครสวรรค์ ชุมแสง,15.700,100.300"
"สมุทรสาคร เมืองสมุทรสาคร,13.550,100.283"
"พิษณุโลก เนินมะปราง,16.633,100.700"
"สมุทรปราการ บางพลี,13.633,100.717"
"สุพรรณบุรี บางปลาม้า,14.400,100.083"
"กรุงเทพมหานคร คลองสาน,13.730,100.500"
"พิจิตร กิ่งอำเภอดงเจริญ,16.200,100.400"
"อุบลราชธานี เขื่องใน,15.283,104.633"
"พระนครศรีอยุธยา บางไทร,14.200,100.500"
"พระนครศรีอยุธยา พระนครศรีอยุธยา,14.350,100.567"
"บุรีรัมย์ นางรอง,14.633,102.783"
"สมุทรปราการ พระสมุทรเจดีย์,13.600,100.533"
"นนทบุรี บางบัวทอง,13.900,100.417"
"เพชรบุรี ชะอำ,12.800,99.966"
"ชุมพร หลังสวน,9.950,99.083"
"นนทบุรี บางกรวย,13.800,100.466"
"เชียงใหม่,หางดง,18.687,98.919"
"ฉะเชิงเทรา,บางน้ำเปรี้ยว,13.833,101.033"
"ประจวบคีรีขันธ์,กุยบุรี,12.083,99.850"
"อ่างทอง,สามโก้,14.600,100.317"
"อ่างทอง,โพธิ์ทอง,14.650,100.450"
"พระนครศรีอยุธยา,เสนา,14.317,100.417"
"ปทุมธานี,สามโคก,14.067,100.517"
"สมุทรปราการ,บางบ่อ,13.583,100.800"
"สุราษฎร์ธานี,เมืองสุราษฎร์ธานี,9.140,99.333"
"ชุมพร,ท่าแซะ,10.600,99.200"
"กาญจนบุรี,พนมทวน,14.050,99.550"
"ระยอง,เมืองระยอง,12.683,101.267"
"สุโขทัย,สวรรคโลก,17.317,99.817"
"อุตรดิตถ์,ทองแสนขัน,17.600,100.000"
"นครศรีธรรมราช,ปากพนัง,8.350,100.350"
"สมุทรปราการ,พระประแดง,13.650,100.533"
"กำแพงเพชร,ขาณุวรลักษบุรี,16.067,99.717"
"นครพนม,ธาตุพนม,17.417,104.717"
"สงขลา,ระโนด,7.583,100.317"
"เพชรบุรี,บ้านลาด,13.083,99.850"
"สระแก้ว,วังน้ำเย็น,13.667,102.200"
"ชัยนาท,เมืองชัยนาท,15.183,100.133"
"เพชรบุรี,เมืองเพชรบุรี,13.100,99.950"
"สมุทรสาคร,กระทุ่มแบน,13.600,100.267"
"ปทุมธานี,คลองหลวง,14.083,100.650"
"สระแก้ว,วัฒนานคร,13.750,102.317"
"สระบุรี,เมืองสระบุรี,14.533,100.917"
"นครสวรรค์,พยุหะคีรี,15.550,100.100"
"นครปฐม,นครชัยศรี,13.817,100.183"
"สิงห์บุรี,พรหมบุรี,14.833,100.383"
"นครราชสีมา,โนนไทย,15.083,102.017"
"นครสวรรค์,เก้าเลี้ยว,15.700,100.050"
"พระนครศรีอยุธยา,ลาดบัวหลวง,14.200,100.383"
"ชัยนาท,มโนรมย์,15.200,100.050"
"พระนครศรีอยุธยา,บางปะหัน,14.450,100.550"
"กรุงเทพมหานคร,ทวีวัฒนา,13.733,100.383"
"ราชบุรี,ดำเนินสะดวก,13.517,99.950"
"เพชรบุรี,บ้านแหลม,13.133,99.950"
"ราชบุรี,จอมบึง,13.533,99.650"
"ประจวบคีรีขันธ์,ทับสะแก,11.250,99.633"
"กรุงเทพมหานคร,ราษฎร์บูรณะ,13.683,100.500"
"กรุงเทพมหานคร,พระโขนง,13.700,100.600"
"กาญจนบุรี,ท่าม่วง,13.950,99.550"
"ยโสธร,เมืองยโสธร,15.800,104.150"
